Date,Time,Open,High,Low,Close,Volume
2016.09.06,0:00,1.11456,1.12627,1.11404,1.12555,110539
2016.09.07,0:00,1.12516,1.12706,1.12283,1.12385,109596
2016.09.08,0:00,1.12384,1.13266,1.1234,1.12607,127333
2016.09.09,0:00,1.12596,1.12849,1.11981,1.12235,121464
2016.09.12,0:00,1.12304,1.1268,1.121,1.12349,126770
2016.09.13,0:00,1.12331,1.12601,1.12036,1.12182,124533
2016.09.14,0:00,1.1218,1.12737,1.12097,1.12495,116517
2016.09.15,0:00,1.12488,1.12833,1.12187,1.12435,123597
2016.09.16,0:00,1.12422,1.12497,1.11492,1.11535,119187
2016.09.19,0:00,1.11531,1.11975,1.11505,1.11731,99133
2016.09.20,0:00,1.11729,1.12131,1.11495,1.11501,113778
2016.09.21,0:00,1.11486,1.11962,1.11228,1.11878,134839
2016.09.22,0:00,1.11865,1.12569,1.11844,1.12068,110898
2016.09.23,0:00,1.12068,1.12403,1.11935,1.12149,105259
2016.09.26,0:00,1.1229,1.12788,1.12204,1.12524,100705
2016.09.27,0:00,1.12533,1.12586,1.11906,1.12137,118920
2016.09.28,0:00,1.12152,1.12365,1.11814,1.12163,121224
2016.09.29,0:00,1.1216,1.12496,1.11965,1.1221,127536
2016.09.30,0:00,1.12212,1.12503,1.11531,1.12399,159377
2016.10.03,0:00,1.12262,1.12439,1.12049,1.12096,103316
2016.10.04,0:00,1.12101,1.12384,1.11376,1.12042,146274
2016.10.05,0:00,1.12015,1.1233,1.11894,1.12031,127411
2016.10.06,0:00,1.1203,1.12121,1.11395,1.11493,127363
2016.10.07,0:00,1.11481,1.12048,1.1104,1.11931,187746
2016.10.10,0:00,1.1181,1.12028,1.11309,1.1139,109924
2016.10.11,0:00,1.11346,1.11419,1.10486,1.1053,147600
2016.10.12,0:00,1.1053,1.10673,1.10041,1.10046,152045
2016.10.13,0:00,1.10063,1.10573,1.09851,1.10547,121130
2016.10.14,0:00,1.10543,1.10582,1.09699,1.09711,133075
2016.10.17,0:00,1.09689,1.10076,1.09635,1.09985,109809
2016.10.18,0:00,1.09994,1.10262,1.09697,1.09794,108864
2016.10.19,0:00,1.09783,1.10044,1.09547,1.09735,111014
2016.10.20,0:00,1.0972,1.10388,1.09154,1.09285,119973
2016.10.21,0:00,1.09281,1.09293,1.0859,1.08736,107385
2016.10.24,0:00,1.08801,1.08993,1.08592,1.08812,95964
2016.10.25,0:00,1.088,1.09045,1.08507,1.0888,116985
2016.10.26,0:00,1.08863,1.09462,1.0874,1.09069,100805
2016.10.27,0:00,1.09068,1.09418,1.08821,1.08945,113170
2016.10.28,0:00,1.0896,1.09915,1.08926,1.09745,125682
2016.10.31,0:00,1.09841,1.09907,1.09355,1.09762,99110
2016.11.01,0:00,1.09761,1.10686,1.09597,1.10564,114436
2016.11.02,0:00,1.10571,1.11228,1.10493,1.10946,130442
2016.11.03,0:00,1.1095,1.11255,1.10595,1.1105,127810
2016.11.04,0:00,1.11052,1.11405,1.10795,1.11375,117112
2016.11.07,0:00,1.10616,1.11099,1.1027,1.10395,113641
2016.11.08,0:00,1.10396,1.10667,1.10083,1.10257,105056
2016.11.09,0:00,1.10238,1.12991,1.09066,1.09077,289426
2016.11.10,0:00,1.09083,1.09533,1.08645,1.08907,179345
2016.11.11,0:00,1.08932,1.09229,1.08301,1.08503,169227
2016.11.14,0:00,1.08316,1.08403,1.07087,1.07358,188186
2016.11.15,0:00,1.07357,1.08161,1.07138,1.07215,159227
2016.11.16,0:00,1.07205,1.07592,1.06656,1.06898,149231
2016.11.17,0:00,1.06899,1.07453,1.06197,1.06241,159830
2016.11.18,0:00,1.06216,1.06425,1.05687,1.05826,173588
2016.11.21,0:00,1.05915,1.06488,1.05785,1.06264,167381
2016.11.22,0:00,1.06256,1.06575,1.05835,1.06243,152884
2016.11.23,0:00,1.0622,1.06433,1.05258,1.05516,150771
2016.11.24,0:00,1.05485,1.05849,1.05176,1.05517,136134
2016.11.25,0:00,1.05462,1.0627,1.05291,1.05772,153487
2016.11.28,0:00,1.06079,1.06854,1.05632,1.06122,157206
2016.11.29,0:00,1.06116,1.06542,1.05645,1.06487,145680
2016.11.30,0:00,1.06472,1.06662,1.05521,1.0587,172640
2016.12.01,0:00,1.05891,1.06683,1.05842,1.06596,143640
2016.12.02,0:00,1.06581,1.06896,1.06248,1.06538,126272
2016.12.05,0:00,1.06171,1.07959,1.05044,1.07631,167247
2016.12.06,0:00,1.07617,1.0785,1.06979,1.07177,108311
2016.12.07,0:00,1.07153,1.07679,1.07095,1.07513,90502
2016.12.08,0:00,1.07521,1.08734,1.05968,1.06121,136582
2016.12.09,0:00,1.06117,1.06293,1.05306,1.05515,106233
